Time Stamp, Send Size Total
256581,9770
256802,1006
257023,818
257244,981
257465,981
257686,818
257907,981
258128,817
258349,654
258570,817
258791,981
259012,654
259233,817
259454,817
259675,981
259896,818
260117,981
260338,981
260559,818
260780,981
261001,654
261222,981
261443,163
261664,0
261885,654
262106,327
262327,327
262548,817
262769,981
262990,981
263211,817
263432,981
263653,981
263874,817
264095,981
264316,981
264537,817
264758,981
264979,3627
265200,31408
265421,4938
265642,7602
265863,3900
266084,3910
266305,7199
266526,10694
266747,5718
266968,8675
267189,7452
267410,9116
267631,7552
267852,20796
268073,8737
268294,5830
268515,5538
268736,6061
268957,8535
269178,3842
269399,4172
269620,7468
269841,5177
270062,13368
270283,24021
270504,8397
270725,3204
270946,0
271167,4562
271388,2934
271609,3203
271830,5301
272051,0
272272,5455
272493,4449
272714,2916
272935,33045
273156,7396
273377,7986
273598,13117
273819,7339
274040,7476
274261,18878
274482,18008
274703,4654
274924,9021
275145,4749
275366,7645
275587,4462
275808,17450
276029,4955
276250,15720
276471,16385
276692,14431
276913,18344
277134,20282
277355,17552
277576,36596
277797,27694
278018,24245
278239,21839
278460,15281
278681,20821
278902,28525
279123,23613
279344,7175
279565,27760
279786,26684
280007,27870
280228,25852
280449,8865
280670,23820
280891,19041
281112,16150
281333,12997
281554,5837
281775,7014
281996,3632
282217,2123
282438,2331
282659,4028
282880,1986
283101,492
283322,2136
283543,11867
283764,8456
283985,6121
284206,9815
284427,7979
284648,14928
284869,18977
285090,12408
285311,13252
285532,19503
285753,7979
285974,27721
286195,13045
286416,30263
286637,29194
286858,26247
287079,24028
287300,997
287521,981
287742,817
287963,981
288184,22456
288405,22526
288626,5520
288847,44306
289068,22073
289289,29671
289510,19231
289731,41770
289952,19646
290173,18953
290394,17615
290615,1002
290836,668
291057,1002
291278,836
291499,47572
291720,3246
291941,13895
292162,10427
292383,483
292604,10222
292825,9699
293046,817
293267,981
293488,981
293709,817
293930,21513
294151,4003
294372,4273
294593,5240
294814,4012
295035,6002
295256,3506
295477,6220
295698,4079
295919,8555
296140,8519
296361,7429
296582,6009
296803,9559
297024,12343
297245,1064
297466,1205
297687,1035
297908,865
298129,18070
298350,17141
298571,22580
298792,12137
299013,23266
299234,16876
299455,20347
299676,12031
299897,14245
300118,13753
300339,15902
300560,7091
300781,9864
301002,9575
301223,7766
301444,5746
301665,5136
301886,10761
302107,4005
302328,4125
302549,24972
302770,677
302991,713
303212,503
303433,327
303654,463
303875,494
304096,327
304317,491
304538,331
304759,164
304980,706
305201,163
305422,576
305643,490
305864,327
306085,327
306306,163
306527,817
306748,981
306969,818
307190,24457
307411,34819
307632,28251
307853,37335
308074,63547
308295,16228
308516,21596
308737,28180
308958,30607
309179,47035
309400,18989
309621,38177
309842,32765
310063,34635
310284,69051
310505,25529
310726,43878
310947,41934
311168,52477
311389,49023
311610,44894
311831,47088
312052,52511
312273,51582
312494,49676
312715,36938
312936,54271
313157,47796
313378,52364
313599,33333
313820,1487
314041,826
314262,854
314483,4660
314704,978
314925,699
315146,580
315367,524
315588,676
315809,2539
316030,1673
316251,817
316472,327
316693,48238
316914,32516
317135,23365
317356,19327
317577,10097
317798,18606
318019,19085
318240,10167
318461,15690
318682,992
318903,780
319124,75391
319345,64422
319566,59065
319787,33972
320008,20603
320229,1435
320450,799
320671,960
320892,481
321113,42937
321334,5685
321555,10384
321776,17941
321997,9878
322218,19564
322439,21336
322660,21722
322881,9047
323102,16584
323323,10896
323544,11475
323765,17388
323986,15668
324207,942
324428,1059
324649,879
324870,1056
325091,881
325312,1056
325533,1056
325754,881
325975,1056
326196,881
326417,881
326638,1056
326859,6583
327080,12818
327301,6021
327522,4820
327743,8928
327964,12516
328185,9737
328406,11226
328627,11716
328848,6472
329069,3025
329290,13649
329511,14431
329732,14184
329953,13729
330174,15467
330395,15197
330616,19490
330837,20864
331058,75116
331279,17190
331500,48696
331721,41365
331942,23804
332163,30392
332384,17845
332605,47311
332826,29842
333047,14353
333268,37873
333489,23649
333710,41597
333931,28643
334152,14850
334373,17755
334594,11126
334815,5176
335036,14674
335257,13275
335478,33765
335699,28780
335920,20626
336141,20282
336362,37151
336583,16290
336804,34373
337025,38079
337246,15056
337467,6816
337688,10335
337909,5650
338130,3255
338351,5450
338572,10808
338793,19050
339014,10278
339235,48945
339456,2975
339677,2266
339898,5210
340119,4644
340340,2847
340561,4829
340782,19646
341003,22352
341224,24906
341445,54973
341666,28195
341887,72648
342108,11933
342329,7867
342550,10642
342771,4381
342992,9321
343213,2399
343434,10794
343655,6270
343876,7334
344097,3090
344318,668
344539,7194
344760,10301
344981,13534
345202,13167
345423,24579
345644,13199
345865,18794
346086,24883
346307,19485
346528,33509
346749,25813
346970,5923
347191,25600
347412,18362
347633,31424
347854,13687
348075,12719
348296,34666
348517,20879
348738,30578
348959,26609
349180,26670
349401,739
349622,13824
349843,43688
350064,18519
350285,27799
350506,17272
350727,13123
350948,27992
351169,22713
351390,31951
351611,43341
351832,42110
352053,1569
352274,2687
352495,3116
352716,3000
352937,2846
353158,2871
353379,1853
353600,2406
353821,1397
354042,4482
354263,3536
354484,3831
354705,4158
354926,5082
355147,3263
355368,2750
355589,1818
355810,3744
356031,3691
356252,4959
356473,2200
356694,2708
356915,2709
357136,44318
357357,26593
357578,25663
357799,22356
358020,57232
358241,35089
358462,28471
358683,29079
358904,59378
359125,35576
359346,25210
359567,44788
359788,34659
360009,60014
360230,41614
360451,17869
360672,10521
360893,36954
361114,1106
361335,969
361556,969
361777,969
361998,17541
362219,27379
362440,26548
362661,27235
362882,18323
363103,15030
363324,13002
363545,17549
363766,15695
363987,14574
364208,11161
364429,16751
364650,14903
364871,12826
365092,2826
365313,1002
365534,1002
365755,832
365976,6285
366197,19564
366418,9570
366639,10561
366860,5349
367081,10189
367302,9753
367523,9507
367744,2807
367965,76350
368186,6706
368407,55552
368628,0
368849,57654
369070,28673
369291,14927
369512,13423
369733,21473
369954,24913
370175,22505
370396,49869
370617,44690
370838,18966
371059,28887
371280,35144
371501,36817
371722,21923
371943,20417
372164,18349
372385,14342
372606,45742
372827,76006
373048,38496
373269,37310
373490,48209
373711,53472
373932,21743
374153,26010
374374,52191
374595,27999
374816,18124
375037,9871
375258,7790
375479,9911
375700,10382
375921,5989
376142,10857
376363,9446
376584,6303
376805,7466
377026,7730
377247,7118
377468,9432
377689,17108
377910,9086
378131,843
378352,1011
378573,843
378794,843
379015,13033
379236,9671
379457,7155
379678,36434
379899,504
380120,245
380341,665
380562,329
380783,329
381004,822
381225,329
381446,494
381667,1758
381888,342
382109,542
382330,502
382551,329
382772,493
382993,164
383214,987
383435,494
383656,987
383877,823
384098,5131
384319,56048
384540,2850
384761,658
384982,1368
385203,3693
385424,1003
385645,164
385866,666
386087,333
386308,21299
386529,65457
386750,20520
386971,30226
387192,14587
387413,22404
387634,35486
387855,21548
388076,8838
388297,3063
388518,832
388739,37106
388960,61137
389181,4801
389402,2234
389623,250
389844,38408
390065,11099
390286,668
390507,334
390728,27759
390949,19460
391170,9211
391391,1127
391612,721
391833,28901
392054,30149
392275,8074
392496,23849
392717,13608
392938,19876
393159,18415
393380,10853
393601,19745
393822,15466
394043,12595
394264,3171
394485,5021
394706,2016
394927,2047
395148,163
395369,328
395590,656
395811,984
396032,821
396253,56874
396474,21570
396695,3507
396916,7420
397137,2227
397358,1611
397579,2186
397800,1424
398021,1832
398242,328
398463,656
398684,984
398905,821
399126,821
399347,40524
399568,968
399789,1660
400010,334
400231,656
400452,656
400673,984
400894,22206
401115,52325
401336,4201
401557,1989
401778,1601
401999,426
402220,448
402441,1474
402662,2112
402883,2853
403104,2169
403325,1451
403546,895
403767,1264
403988,2009
404209,2343
404430,1699
404651,1899
404872,2010
405093,1913
405314,1738
405535,1272
405756,1310
405977,1263
406198,614
406419,1247
406640,1256
406861,1446
407082,1437
407303,11194
407524,6755
407745,5077
407966,3872
408187,1929
408408,2081
408629,2016
408850,3360
409071,1844
409292,2082
409513,2606
409734,1586
409955,1855
410176,1089
410397,1158
410618,1097
410839,1565
411060,894
411281,1197
411502,3485
411723,1228
411944,1077
412165,1077
412386,901
412607,1077
412828,2612
413049,1222
413270,768
413491,359
413712,1077
413933,992
414154,901
414375,542
414596,1365
414817,649
415038,0
415259,1077
415480,535
415701,176
415922,894
416143,542
416364,0
416585,63560
416806,42471
417027,8476
417248,323
417469,969
417690,1078
417911,485
418132,435
418353,218
418574,646
418795,1141
419016,909
419237,1061
419458,1141
419679,434
419900,1224
420121,0
420342,865
420563,413
420784,943
421005,1038
421226,1251
421447,885
421668,1038
421889,646
422110,0
422331,220
422552,0
422773,162
422994,808
423215,808
423436,485
423657,43791
423878,47649
424099,3738
424320,14521
424541,14075
424762,4868
424983,6106
425204,13280
425425,2786
425646,907
425867,429
426088,808
426309,485
426530,808
426751,875
426972,323
427193,807
427414,807
427635,646
427856,1351
428077,484
428298,807
428519,1130
428740,867
428961,646
429182,2113
429403,3653
429624,3127
429845,838
430066,6388
430287,699
430508,189
430729,16912
430950,36294
431171,4538
431392,2310
431613,652
431834,0
432055,0
432276,161
432497,161
432718,0
432939,969
433160,0
433381,49207
433602,1701
433823,2688
434044,5671
434265,10021
434486,2335
434707,3226
434928,1263
435149,7056
435370,2322
435591,1636
435812,1300
436033,951
436254,803
436475,0
436696,0
436917,0
437138,0
437359,0
437580,36751
437801,41860
438022,425
438243,18586
438464,12441
438685,8605
438906,19610
439127,1120
439348,972
439569,0
439790,30373
440011,10419
440232,0
440453,0
440674,188
440895,810
441116,810
441337,810
441558,972
441779,972
442000,972
442221,324
